Wall time,Step,Value
1731495069.9926274,1064,96.48540496826172
1731495077.0226192,1127,111.96654510498047
1731495089.3139946,1239,119.98928833007812
1731495094.3891542,1284,73.31270599365234
1731495098.381429,1319,88.40725708007812
1731495100.7591958,1339,80.75582122802734
1731495103.5546367,1363,64.5403060913086
1731495106.1449306,1385,111.5936050415039
1731495108.740817,1407,104.10022735595703
1731495111.3548653,1429,80.62236785888672
1731495113.954043,1451,72.5671157836914
1731495117.4036489,1481,72.51644897460938
1731495121.9620302,1521,79.55458068847656
1731495126.5987766,1562,48.303810119628906
1731495131.6688926,1607,119.21428680419922
1731495137.1921964,1656,118.87431335449219
1731495154.808918,1817,103.1683120727539
1731495201.7684467,2000,64.21800994873047
1731495207.2538443,2050,71.47611999511719
1731495229.079183,2250,71.53056335449219
1731495250.93202,2450,87.6246337890625
1731495272.7135587,2650,79.22101593017578
1731495294.5608816,2850,40.05506896972656
1731495338.030875,3000,55.69939041137695
1731495343.5668776,3050,31.9185733795166
1731495365.4889686,3250,79.26371765136719
1731495387.3437696,3450,24.612672805786133
1731495409.1879168,3650,47.96220016479492
1731495431.0447998,3850,71.08153533935547
1731495474.6837053,4000,55.69172286987305
1731495480.1652992,4050,47.3314094543457
1731495502.056149,4250,33.07696533203125
1731495523.8632698,4450,40.631038665771484
1731495545.7065735,4650,17.13039779663086
1731495567.626637,4850,47.79640197753906
1731495611.097694,5000,25.345821380615234
