Wall time,Step,Value
1731494951.7930696,58,14.5
1731494955.769188,93,11.625
1731494963.019329,159,13.25
1731494970.6745226,229,14.3125
1731494976.8479893,285,14.25
1731494982.379228,335,13.958333015441895
1731494987.9317205,385,13.75
1731494992.8217216,429,13.40625
1731494997.1823351,468,13.0
1731495002.0837696,512,12.800000190734863
1731495007.9760818,565,12.840909004211426
1731495011.3900342,595,12.395833015441895
1731495015.109051,628,12.076923370361328
1731495021.075342,682,12.178571701049805
1731495025.119245,718,11.966666221618652
1731495029.9219518,761,11.890625
1731495034.5130985,802,11.79411792755127
1731495038.2475774,835,11.597222328186035
1731495044.3366418,890,11.710526466369629
1731495048.1785977,924,11.550000190734863
1731495051.7189567,955,11.369047164916992
1731495056.3146334,996,11.318181991577148
1731495069.9926274,1064,11.52173900604248
1731495077.0226192,1127,11.697916984558105
1731495089.3139946,1239,12.350000381469727
1731495094.3891542,1284,12.220000267028809
1731495098.381429,1319,12.220000267028809
1731495100.7591958,1339,11.760000228881836
1731495103.5546367,1363,11.300000190734863
1731495106.1449306,1385,10.960000038146973
1731495108.740817,1407,10.680000305175781
1731495111.3538647,1429,10.399999618530273
1731495113.954043,1451,10.180000305175781
1731495117.4036489,1481,10.09000015258789
1731495121.9620302,1521,10.050000190734863
1731495126.5987766,1562,9.930000305175781
1731495131.6688926,1607,10.079999923706055
1731495137.1921964,1656,10.239999771118164
1731495154.808918,1817,11.3100004196167
1731495207.2538443,2050,12.949999809265137
1731495229.079183,2250,14.520000457763672
1731495250.9305103,2450,16.110000610351562
1731495272.712558,2650,17.780000686645508
1731495294.5608816,2850,19.229999542236328
1731495343.5668776,3050,20.889999389648438
1731495365.4889686,3250,22.579999923706055
1731495387.3437696,3450,24.170000076293945
1731495409.1879168,3650,25.530000686645508
1731495431.0447998,3850,26.899999618530273
1731495480.1652992,4050,27.780000686645508
1731495502.056149,4250,29.329999923706055
1731495523.8632698,4450,30.979999542236328
1731495545.7065735,4650,32.779998779296875
1731495567.626637,4850,34.540000915527344
